world,episodes,highload_episodes,highload_threshold,zentrum,offen,rand_kipp,rekopplungsnaehe,high_zentrum,high_offen,high_rand_kipp,high_rekopplungsnaehe,auditory_loudness,visual_sharpness,visual_blur,raw_field_intake,adapted_field_intake,intake_reduction,adaptation_ratio,felt_pressure,felt_relaxation,mcm_tension,mcm_coherence,mcm_asymmetry,high_auditory_loudness,high_visual_sharpness,high_visual_blur,high_raw_field_intake,high_adapted_field_intake,high_intake_reduction,high_adaptation_ratio,high_felt_pressure,high_felt_relaxation,high_mcm_tension,high_mcm_coherence,high_mcm_asymmetry
BTC_5M,1994,200,0.221854,0.413741,0.427282,0.021565,0.137412,0.0,0.825,0.175,0.0,0.207492,0.653681,0.346319,0.124058,0.105768,0.01829,0.852568,0.114662,0.794386,0.105768,0.608247,0.004276,0.51609,0.625985,0.374015,0.293872,0.23897,0.054902,0.813177,0.233324,0.719332,0.23897,0.521521,0.134927
BTC_1H,1994,200,0.221258,0.441324,0.397192,0.025577,0.135908,0.0,0.755,0.245,0.0,0.209948,0.656665,0.343335,0.124948,0.106469,0.018479,0.852107,0.114144,0.796655,0.106469,0.612971,0.008665,0.540991,0.620946,0.379054,0.308365,0.249558,0.058807,0.809293,0.243402,0.712486,0.249558,0.517227,0.165809
SOL_5M,1994,200,0.219759,0.367101,0.466399,0.021063,0.145436,0.0,0.805,0.195,0.0,0.213473,0.644934,0.355066,0.127442,0.108495,0.018947,0.851326,0.117923,0.790627,0.108495,0.608048,-0.002718,0.515411,0.610768,0.389232,0.292693,0.237628,0.055065,0.811868,0.233617,0.716822,0.237628,0.524748,0.105647
SOL_1H,1994,200,0.221567,0.381645,0.441825,0.023069,0.15346,0.0,0.775,0.225,0.0,0.214816,0.649616,0.350384,0.127843,0.108887,0.018957,0.85172,0.116973,0.793233,0.108887,0.608712,0.006622,0.523368,0.611986,0.388014,0.298108,0.241741,0.056367,0.810916,0.235903,0.717164,0.241741,0.518765,0.143038
KAS_5M,1994,200,0.224216,0.378134,0.443831,0.02006,0.157974,0.0,0.81,0.19,0.0,0.213587,0.649151,0.350849,0.127484,0.108574,0.01891,0.851666,0.117595,0.791599,0.108574,0.6089,0.00099,0.515728,0.610033,0.389967,0.293959,0.238644,0.055315,0.811827,0.234047,0.716574,0.238644,0.521442,0.115441
KAS_1H,1994,200,0.221403,0.379639,0.446841,0.03009,0.14343,0.0,0.73,0.27,0.0,0.214352,0.64586,0.35414,0.128169,0.108997,0.019172,0.850414,0.117722,0.791657,0.108997,0.605457,0.002666,0.533185,0.611981,0.388019,0.304079,0.246109,0.05797,0.809358,0.239552,0.716332,0.246109,0.523302,0.138199
PAXG_5M,9994,1000,0.229412,0.642686,0.215129,0.008905,0.13328,0.001,0.813,0.088,0.098,0.190339,0.659771,0.340229,0.11751,0.100308,0.017202,0.853615,0.109422,0.797755,0.100308,0.604199,0.000186,0.508891,0.628186,0.371814,0.295945,0.240928,0.055017,0.814097,0.237598,0.708434,0.240928,0.467959,0.07317
PAXG_1H,8778,879,0.22584,0.577922,0.273525,0.016405,0.132149,0.0,0.841866,0.149033,0.009101,0.209821,0.643943,0.356057,0.126694,0.1078,0.018894,0.850869,0.117423,0.790021,0.1078,0.597457,0.00552,0.52324,0.605935,0.394065,0.299931,0.242757,0.057174,0.809376,0.239373,0.709584,0.242757,0.491372,0.118412
DOGE_5M,9994,1000,0.220798,0.607064,0.259256,0.01611,0.117571,0.001,0.845,0.143,0.011,0.210337,0.657461,0.342539,0.125419,0.106953,0.018466,0.852766,0.115521,0.794415,0.106953,0.611479,-0.001289,0.513852,0.621014,0.378986,0.293365,0.238411,0.054954,0.812676,0.235322,0.713054,0.238411,0.505256,0.068069
DOGE_1H,8778,879,0.216824,0.614035,0.258487,0.018569,0.108909,0.0,0.811149,0.174061,0.01479,0.209168,0.657766,0.342234,0.124507,0.106208,0.018299,0.853031,0.113948,0.796783,0.106208,0.614018,0.00359,0.527168,0.624282,0.375718,0.300196,0.243618,0.056578,0.81153,0.237737,0.716512,0.243618,0.520192,0.146181
XRP_5M,9994,1000,0.217619,0.620472,0.25035,0.018411,0.110766,0.0,0.813,0.171,0.016,0.2068,0.658973,0.341027,0.123581,0.105368,0.018213,0.852619,0.114192,0.795409,0.105368,0.613291,-0.002211,0.522346,0.615904,0.384096,0.298304,0.241669,0.056636,0.810142,0.238381,0.711529,0.241669,0.50645,0.074054
XRP_1H,8778,879,0.216893,0.629073,0.250968,0.02005,0.099909,0.001138,0.810011,0.178612,0.010239,0.207805,0.664396,0.335604,0.123639,0.105489,0.01815,0.853202,0.112839,0.798623,0.105489,0.615014,0.002929,0.530997,0.632507,0.367493,0.303471,0.246044,0.057427,0.810766,0.242084,0.710372,0.246044,0.505086,0.134468
